horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;pValue;plats
2;102;2;9;54;0.06309999999999999;1432322;0.08;55;16;14042;2;1;102;8;15;18;5.70;2.05;76;0.4;7.79;1790;17;2;4;0;0.0;0
3;103;0;9;46;0.0466;1137650;0.13;56;14;13543;2;0;84;11;7;15;14.59;3.74;64;0.39;13.49;610;4;2;3;0;0.0;1
4;104;1;8;18;0.030699999999999998;1037544;0.23;57;16;12652;2;0;82;19;14;7;16.57;3.66;77;0.49;7.13;1577;18;2;1;1;16.57;1
5;105;0;11;6;0.005600000000000001;779100;0.14;58;17;11291;2;1;69;10;12;8;58.59;11.22;78;0.43;15.46;790;19;2;5;0;0.0;0
6;106;2;11;55;0.015700000000000002;2031250;0.1;59;15;18136;2;1;112;11;20;15;36.43;5.92;79;0.41;9.38;1450;5;2;99;0;0.0;0
7;107;0;10;56;0.0089;841442;0.19;60;15;7938;2;1;106;20;9;5;60.52;9.57;80;0.32;5.75;1705;6;2;d;0;0.0;0
8;108;1;14;3;0.013300000000000001;2853442;0.18;61;18;17834;2;1;160;28;26;18;26.74;5.97;81;0.45;39.95;500;20;2;99;0;0.0;0
9;109;1;11;5;0.2528;2495984;0.3;62;16;29023;2;1;86;26;23;10;4.42;1.83;82;0.69;3.35;2505;12;2;2;0;0.0;1
10;110;1;11;57;0.1467;1524731;0.3;57;16;21475;2;1;71;21;6;7;8.66;2.38;83;0.48;20.77;820;20;2;7;0;0.0;0
11;111;1;6;8;0.041299999999999996;1829367;0.35;55;16;70360;2;1;26;9;5;3;14.58;3.39;83;0.65;54.22;220;20;2;8;0;0.0;0
12;112;1;6;58;0.37310000000000004;1785935;0.25;63;15;40589;2;1;44;11;11;6;2.81;1.51;83;0.64;4.24;2705;20;2;d;0;0.0;0
0;113;0;12;58;0.0044;4350200;0.23;47;7;28619;2;1;152;35;23;16;89.19;8.89;84;0.49;57.72;815;5;3;7;0;0.0;0
1;114;1;7;59;0.0263;5664260;0.28;64;19;104893;2;0;54;15;7;7;25.01;4.11;85;0.54;25.50;426;7;3;5;0;0.0;0
2;115;0;10;46;0.1107;5264496;0.28;22;7;61935;2;1;85;24;14;7;11.39;2.55;86;0.53;13.17;1205;11;3;d;0;0.0;0
3;116;0;11;60;0.0068000000000000005;2208950;0.1;65;6;10881;2;0;203;20;25;23;50.44;6.38;87;0.33;84.75;550;21;3;8;0;0.0;0
4;117;1;7;3;0.24969999999999998;2069500;0.2;22;7;37627;2;0;55;11;10;8;4.15;1.59;88;0.53;21.70;2385;11;3;2;0;0.0;1
5;118;0;10;61;0.0781;2150263;0.11;48;7;20478;2;1;105;12;17;18;10.84;2.13;89;0.45;43.28;3110;13;3;4;0;0.0;0
6;119;0;8;62;0.4618;4956665;0.39;27;8;66981;2;0;74;29;6;5;1.77;1.28;90;0.54;3.18;4675;12;3;1;1;1.77;1
7;120;0;8;63;0.0125;2015777;0.21;65;6;34754;2;0;58;12;8;7;38.37;5.36;91;0.47;35.26;1850;15;3;99;0;0.0;0
8;121;1;11;44;0.0032;4642974;0.22;27;8;55939;2;0;83;18;11;5;103.69;13.98;64;0.41;30.94;1790;4;3;99;0;0.0;0
9;122;0;10;64;0.0021;1905658;0.27;47;7;34029;2;1;56;15;6;5;115.09;16.34;92;0.46;22.44;495;4;3;99;0;0.0;0
10;123;0;13;5;0.021;18891788;0.27;66;20;107953;2;1;175;47;30;23;28.00;4.94;93;0.57;10.56;1750;21;3;6;0;0.0;0
11;124;1;6;8;0.0235;4178927;0.17;66;21;72050;2;0;58;10;9;3;22.21;4.26;90;0.38;82.01;2025;12;3;3;0;0.0;1
0;48;1;7;46;0.044000000000000004;219600;0.15;36;12;8133;2;1;27;4;5;0;17.62;3.25;40;0.33;27.16;1815;4;4;8;0;0.0;0
1;125;0;6;58;0.0182;242100;0.22;3;13;8966;2;1;27;6;2;2;39.87;5.38;94;0.37;7.20;1510;21;4;99;0;0.0;0
2;126;0;4;8;0.2066;185900;0.44;12;10;20655;2;1;9;4;0;1;4.09;1.70;95;0.56;5.14;1894;12;4;3;0;0.0;1
3;127;0;5;64;0.09269999999999999;218391;0.07;32;12;15599;2;1;14;1;7;3;15.09;3.26;96;0.79;6.02;1828;10;4;7;0;0.0;0
4;128;0;5;5;0.3721;202500;0.5;5;12;20250;2;0;10;5;2;2;2.60;1.47;82;0.9;2.89;2660;12;4;2;0;0.0;1
5;129;1;4;40;0.067;100500;0.17;52;10;16750;2;1;6;1;2;1;7.87;2.41;52;0.67;3.71;1505;12;4;5;0;0.0;0
