horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tr�nare;Plats%;Snittodds;Po�ng;Hemmabana;raceIdx;result;won;plats
3;1440;0;7;289;0.0034000000000000002;232700;0.09;0;7;4155;0;0;56;5;2;6;130.11;17.625;551;0.23;22.52;1519;21;3;7;0;0
4;1275;0;4;44;0.09230000000000001;183700;0.14;41;7;13121;0;2;14;2;2;1;12.05;3.1450000000000005;57;0.36;11.52;2109;12;3;3;0;1
5;1402;0;4;7;0.2966;176000;0.5;51;7;22000;0;1;8;4;1;1;2.56;1.415;419;0.75;2.66;2055;20;3;1;1;1
6;1143;0;5;207;0.009300000000000001;232700;0.11;40;7;8618;0;1;27;3;3;3;67.30;8.385;400;0.33;7.01;1205;21;3;d;0;0
7;439;0;4;13;0.0025;224200;0.0;7;7;10190;0;2;22;0;4;5;99.9;99.9;248;0.41;20.12;1187;25;3;s;0;0
8;1397;1;4;154;0.0849;240000;0.06;2;4;14117;0;1;17;1;3;3;11.39;2.715;543;0.41;17.00;1540;15;3;2;0;1
9;904;0;5;57;0.0385;125000;0.25;48;4;7812;0;0;16;4;0;1;30.18;4.575;400;0.31;17.58;1277;21;3;utg;0;0
10;1441;0;4;15;0.2516;240500;0.6;66;7;24050;1;2;10;6;1;1;3.00;1.615;147;0.8;1.42;2850;21;3;5;0;0
11;1442;0;5;59;0.0017000000000000001;224500;0.1;56;6;11225;0;1;20;2;5;2;317.81;19.549999999999997;552;0.45;17.24;963;25;3;6;0;0
0;1161;1;6;218;0.2379;656079;0.3;87;24;14910;0;0;44;13;1;6;3.86;2.115;405;0.45;3.97;2810;27;4;99;0;0
1;1443;1;8;57;0.08900000000000001;810500;0.14;145;23;9316;0;0;87;12;11;15;7.81;3.0700000000000003;553;0.44;8.06;700;26;4;3;0;1
2;914;2;9;286;0.0351;905100;0.18;90;23;10648;2;0;85;15;16;7;21.43;5.6;407;0.45;8.52;1625;25;4;2;0;1
3;1444;1;7;7;0.1097;820527;0.32;146;25;21592;0;0;38;12;4;8;9.11;3.045;193;0.63;6.28;490;22;4;6;0;0
4;1445;1;10;207;0.0218;822026;0.08;142;24;7682;1;0;107;9;12;12;41.02;7.76;554;0.31;18.46;1680;18;4;7;0;0
5;1288;0;11;271;0.1322;714600;0.09;149;25;6005;0;0;119;11;14;15;6.86;2.025;515;0.34;36.46;1800;22;4;1;1;1
6;915;1;10;40;0.0042;1114037;0.19;154;25;13262;0;0;84;16;8;7;101.97;16.855;408;0.37;9.76;456;14;4;99;0;0
7;1446;0;11;43;0.0562;1062093;0.24;85;25;12796;0;0;83;20;8;13;16.17;4.81;555;0.49;17.34;602;14;4;99;0;0
8;1117;0;11;216;0.066;1180300;0.21;154;25;14393;3;0;82;17;14;9;21.07;5.25;464;0.49;15.39;1040;20;4;99;0;0
9;1447;1;8;59;0.0407;1088041;0.17;88;24;16739;2;0;65;11;10;10;15.40;4.73;127;0.48;6.14;2335;21;4;d;0;0
10;1448;1;11;31;0.0083;1291700;0.19;132;24;12420;3;0;104;20;17;19;70.45;15.97;556;0.54;37.57;935;20;4;4;0;0
11;917;1;6;118;0.0054;1244880;0.13;85;25;32760;3;0;38;5;3;7;59.53;8.815;403;0.39;72.93;353;15;4;5;0;0
12;423;0;12;117;0.0022;1130100;0.12;87;24;8760;0;0;129;16;16;7;177.45;26.354999999999997;238;0.3;11.55;373;22;4;99;0;0
13;1113;2;7;91;0.0641;1267100;0.29;124;26;23038;0;0;55;16;5;4;12.23;4.07;190;0.45;16.35;810;22;4;99;0;0
14;1121;1;7;15;0.1273;1412113;0.37;146;25;23535;2;0;60;22;8;8;6.21;2.605;195;0.63;8.89;925;23;4;99;0;0
0;1393;0;5;7;0.3625;885500;0.36;20;8;40250;0;1;22;8;2;2;2.84;1.52;100;0.55;17.05;880;11;5;1;1;1
1;1449;0;7;20;0.0332;607000;0.19;22;12;14116;0;1;43;8;5;6;20.71;3.9450000000000003;5;0.44;41.14;470;3;5;4;0;0
2;1450;0;7;207;0.0014000000000000002;586301;0.16;26;5;9456;2;1;62;10;10;7;99.9;99.9;398;0.44;20.20;509;21;5;s;0;0
3;1451;0;7;31;0.0084;704000;0.13;31;8;11733;0;2;60;8;8;9;44.84;5.805;147;0.42;19.51;1105;21;5;99;0;0
4;700;0;7;57;0.34240000000000004;711800;0.19;10;5;19237;0;2;37;7;8;5;2.38;1.37;97;0.54;20.99;2015;16;5;2;0;1
5;948;0;6;15;0.0713;660100;0.21;3;5;14044;2;1;47;10;8;7;12.95;2.7750000000000004;147;0.53;6.51;1939;21;5;5;0;0
6;1452;0;7;59;0.0048;853629;0.13;71;8;16106;0;1;53;7;7;9;87.60;11.775;127;0.43;39.46;777;21;5;99;0;0
7;1347;0;8;286;0.037599999999999995;775224;0.29;32;5;13139;0;2;59;17;10;14;27.18;4.495;57;0.69;23.45;1116;12;5;6;0;0
8;1305;0;8;13;0.1125;711426;0.13;35;5;9360;0;1;76;10;12;5;6.09;1.9749999999999999;7;0.36;7.94;1105;11;5;3;0;1
9;1453;0;8;43;0.0070999999999999995;647985;0.28;32;5;7807;0;0;83;23;11;9;66.22;7.9399999999999995;557;0.52;17.23;1050;14;5;7;0;0
10;1454;2;7;40;0.0028000000000000004;815900;0.16;27;8;18543;1;1;44;7;7;6;94.51;10.5;558;0.45;12.48;500;27;5;99;0;0
11;1395;0;6;44;0.0159;572280;0.11;25;8;12176;0;2;47;5;7;8;47.63;8.035;57;0.43;11.14;690;12;5;99;0;0
0;1455;1;8;20;0.0060999999999999995;1014868;0.27;33;12;23065;2;0;44;12;4;7;79.86;8.655000000000001;367;0.52;4.77;1860;21;6;99;0;0
1;1034;0;7;57;0.6324000000000001;1118471;0.79;71;8;38567;0;1;29;23;2;1;1.47;1.185;97;0.9;3.46;6065;16;6;1;1;1
2;50;0;7;40;0.0513;915900;0.13;31;8;17613;0;0;52;7;7;7;20.96;3.69;20;0.4;11.31;670;11;6;4;0;0
3;1184;1;5;88;0.10300000000000001;1102000;0.3;26;5;55100;0;0;20;6;5;1;10.80;2.695;138;0.6;22.44;4125;20;6;2;0;1
4;935;0;10;216;0.0040999999999999995;1413200;0.29;29;5;19627;0;0;72;21;18;8;100.25;9.51;414;0.65;17.39;1412;27;6;6;0;0
5;1456;2;5;7;0.1013;1160799;0.14;73;12;40027;0;1;29;4;7;5;6.75;2.175;193;0.55;19.51;2684;22;6;99;0;0
6;940;0;7;221;0.0034999999999999996;1119223;0.26;31;8;16459;0;2;68;18;2;10;78.70;11.835;415;0.44;21.97;914;25;6;99;0;0
7;637;2;6;44;0.0273;1243000;0.36;26;5;49720;0;2;25;9;0;1;16.23;3.5549999999999997;57;0.4;28.53;740;12;6;4;0;0
8;933;0;8;31;0.0034999999999999996;1259086;0.14;15;8;13989;2;2;90;13;18;18;85.49;10.565;237;0.54;24.63;624;20;6;99;0;0
9;1457;0;8;15;0.0017000000000000001;1221269;0.09;27;8;10332;2;1;94;8;11;12;117.23;17.045;147;0.33;16.39;1095;21;6;99;0;0
10;1274;0;8;43;0.056900000000000006;1162381;0.28;18;11;29059;0;2;40;11;6;3;13.30;2.815;5;0.5;28.48;735;3;6;7;0;0
11;639;0;6;286;0.0087;1234300;0.26;25;8;31648;0;2;39;10;6;4;61.84;7.085;57;0.51;8.38;1995;12;6;3;0;1
0;686;1;6;247;0.0046;3084721;0.11;30;8;56085;0;2;55;6;7;2;100.24;7.415;318;0.27;45.92;2183;22;7;d;0;0
1;851;1;8;20;0.233;2751666;0.25;18;11;36206;0;1;76;19;11;9;3.96;1.9849999999999999;5;0.51;14.52;1362;3;7;1;1;1
2;1248;1;7;15;0.2352;8817540;0.39;68;12;149449;2;1;59;23;12;7;4.01;1.66;147;0.71;8.11;1795;21;7;2;0;1
3;1458;1;5;40;0.024700000000000003;2562855;0.36;21;12;77662;0;1;33;12;8;5;27.23;4.165;73;0.76;10.10;3045;2;7;3;0;1
4;500;0;6;7;0.049400000000000006;1877750;0.39;25;8;42676;2;1;44;17;3;5;19.26;4.13;100;0.57;8.68;3790;11;7;6;0;0
5;1069;1;7;19;0.0425;5949486;0.11;16;21;91530;0;1;65;7;11;7;15.58;3.265;97;0.38;8.13;2200;16;7;5;0;0
6;1459;2;5;57;0.0463;2448795;0.32;70;12;78993;1;1;31;10;3;1;14.36;2.955;97;0.45;14.46;6336;16;7;99;0;0
7;858;2;7;43;0.0149;4404517;0.15;93;12;66735;0;2;66;10;11;9;40.72;5.824999999999999;5;0.45;14.15;7292;3;7;99;0;0
8;681;0;7;44;0.0693;6719727;0.21;19;12;100294;2;2;67;14;14;12;16.44;3.685;57;0.6;8.34;6678;12;7;7;0;0
9;820;0;6;60;0.2799;3323500;0.26;101;38;87460;0;2;38;10;4;5;2.79;1.58;128;0.5;8.56;2810;11;7;4;0;0
0;1460;2;6;20;0.0374;2438471;0.27;25;8;38705;0;1;63;17;9;10;16.48;2.565;172;0.57;10.97;4393;14;1;4;0;0
1;611;2;6;40;0.0111;3156500;0.26;33;12;80935;0;1;39;10;11;4;99.9;99.9;20;0.64;4.22;5300;11;1;s;0;0
2;610;2;10;15;0.0231;3976294;0.14;68;12;39369;1;1;101;14;14;15;20.46;3.495;97;0.43;31.06;3190;16;1;99;0;0
3;1461;2;7;7;0.6999;5354834;0.48;69;18;127496;0;1;42;20;5;3;1.34;1.145;66;0.67;3.25;7900;11;1;1;1;1
4;1462;2;5;5;0.014199999999999999;1292373;0.33;22;34;61541;0;1;21;7;3;1;41.43;4.96;66;0.52;1.59;4125;11;1;6;0;0
5;560;2;8;11;0.1175;6118468;0.23;68;12;95601;0;1;64;15;11;7;6.10;1.9449999999999998;134;0.52;28.24;3475;2;1;5;0;0
6;612;2;6;57;0.0673;7403330;0.64;33;12;336515;3;1;22;14;4;2;14.43;2.755;97;0.91;1.84;6000;16;1;2;0;1
7;1459;2;5;19;0.0055000000000000005;2441795;0.33;70;12;81393;1;1;30;10;3;1;60.72;7.225;97;0.47;2.77;12182;16;1;7;0;0
8;188;2;7;4;0.0089;4370890;0.31;68;12;89201;0;2;49;15;6;8;45.27;5.15;121;0.59;3.06;4060;7;1;d;0;0
9;858;2;7;33;0.0151;4342017;0.15;93;12;66800;0;1;65;10;11;8;34.31;4.665;5;0.45;9.92;8811;3;1;3;0;1
0;1463;0;5;212;0.10890000000000001;365051;0.89;41;7;40561;0;0;9;8;0;0;11.14;2.765;394;0.89;2.22;4120;14;2;2;0;1
1;727;0;5;165;0.011200000000000002;353200;0.19;57;4;16819;0;0;21;4;2;5;58.14;7.039999999999999;335;0.52;6.15;2710;4;2;99;0;0
2;1464;1;4;63;0.0362;293988;0.28;0;7;16332;0;0;18;5;2;2;22.85;4.14;205;0.5;5.63;2498;14;2;d;0;0
3;1270;0;4;15;0.0703;352000;0.38;24;4;44000;0;1;8;3;2;2;15.30;2.7800000000000002;78;0.88;6.31;3415;11;2;99;0;0
4;440;0;4;19;0.0040999999999999995;252900;0.17;3;5;21075;1;1;12;2;2;2;102.95;8.18;152;0.5;19.68;1159;11;2;5;0;0
5;241;0;4;33;0.1128;350000;0.23;12;4;26923;2;2;13;3;2;3;7.49;2.3200000000000003;5;0.62;26.44;3080;3;2;99;0;0
6;353;0;6;43;0.047599999999999996;264000;0.4;67;4;26400;0;0;10;4;2;1;19.47;3.795;20;0.7;3.62;1990;11;2;6;0;0
7;1465;1;4;7;0.5678;843000;0.6;71;8;84300;0;1;10;6;1;2;1.44;1.2349999999999999;66;0.9;4.77;7780;11;2;1;1;1
8;510;0;4;57;0.0183;260719;0.38;26;5;16294;0;2;16;6;5;1;32.82;5.390000000000001;97;0.75;4.87;2050;16;2;4;0;0
9;1013;0;4;10;0.002;268000;0.22;42;5;29777;0;1;9;2;2;1;174.48;12.635;8;0.56;20.14;1925;2;2;7;0;0
10;1016;0;5;0;0.0029;345300;0.23;1;4;15695;0;0;22;5;4;4;103.51;14.83;64;0.59;3.53;2423;6;2;99;0;0
11;1088;1;4;111;0.0179;348000;0.44;37;7;38666;0;2;9;4;3;0;35.90;5.09;290;0.78;19.56;3005;1;2;3;0;1
0;697;0;9;146;0.09720000000000001;1516500;0.3;33;12;25275;0;2;60;18;3;7;13.53;2.95;57;0.47;19.67;2450;12;3;3;0;1
1;1466;0;6;62;0.1407;1812929;0.31;20;8;36998;0;0;49;15;2;9;4.99;1.815;559;0.53;4.04;5946;14;3;99;0;0
2;638;0;6;7;0.1002;1089373;0.34;22;34;31124;0;0;35;12;5;4;12.60;3.02;66;0.6;2.24;3427;11;3;6;0;0
3;559;2;6;3;0.0694;1689950;0.25;22;12;31885;0;2;53;13;6;11;10.88;3.16;288;0.57;6.26;2830;2;3;99;0;0
4;1243;0;7;43;0.0696;1330700;0.23;21;12;30243;0;1;44;10;8;4;12.45;3.2800000000000002;20;0.5;3.50;3465;11;3;1;1;1
5;498;1;6;4;0.3286;1753059;0.54;30;8;62609;0;0;28;15;1;0;2.38;1.7999999999999998;100;0.57;6.81;3205;11;3;d;0;0
6;223;1;5;20;0.0225;1109868;0.28;29;5;30829;0;1;36;10;9;6;42.78;6.885;139;0.69;6.70;2859;14;3;5;0;0
7;1467;2;6;63;0.0060999999999999995;1771976;0.31;30;8;49221;0;2;36;11;2;8;100.86;15.120000000000001;205;0.58;25.25;2057;14;3;99;0;0
8;1468;0;7;15;0.0076;1267418;0.19;23;8;30176;0;1;42;8;5;4;70.15;7.869999999999999;78;0.4;37.97;885;11;3;4;0;0
9;896;0;6;10;0.0118;1405000;0.25;25;8;39027;0;1;36;9;8;4;58.50;8.290000000000001;8;0.58;20.55;1155;2;3;7;0;0
10;1469;0;6;57;0.1399;1576513;0.26;28;8;37536;2;1;42;11;7;6;6.50;2.235;97;0.57;6.70;5966;16;3;2;0;1
11;1035;0;7;5;0.006500000000000001;1604352;0.27;22;12;25465;0;1;63;17;10;10;74.99;10.55;2;0.59;10.03;2460;2;3;99;0;0
0;1434;2;5;24;0.0863;311800;0.22;13;0;11548;0;1;27;6;1;0;6.35;2.17;398;0.26;11.57;2055;21;4;99;0;0
1;703;2;5;33;0.0231;317550;0.05;5;0;15877;0;2;20;1;3;4;32.69;7.0649999999999995;5;0.4;24.89;1297;3;4;5;0;0
2;481;2;8;14;0.0085;261600;0.06;13;0;7266;1;0;36;2;10;4;66.91;12.835;263;0.44;37.37;1185;0;4;d;0;0
3;1470;2;4;52;0.0148;321050;0.18;1;1;18885;0;1;17;3;5;2;56.00;7.81;115;0.59;11.59;2182;5;4;7;0;0
4;1096;2;4;104;0.0708;445744;0.5;5;0;37145;1;0;12;6;2;0;11.69;3.56;205;0.67;4.80;2960;14;4;99;0;0
5;1236;2;6;57;0.27399999999999997;658387;0.24;43;0;15675;0;2;42;10;6;6;2.91;1.72;97;0.52;4.82;4053;16;4;2;0;1
6;557;2;6;8;0.0108;491100;0.09;6;1;11420;0;0;43;4;5;4;31.59;6.140000000000001;287;0.3;27.74;610;9;4;99;0;0
7;389;2;7;42;0.1211;907800;0.33;9;1;19734;0;0;46;15;5;2;7.37;2.67;210;0.48;8.08;3120;2;4;1;1;1
8;1471;2;6;158;0.0029;475900;0.09;8;3;10125;0;2;47;4;5;4;221.33;38.089999999999996;560;0.28;73.02;514;8;4;6;0;0
9;1233;2;4;11;0.1361;614085;0.24;44;1;29242;0;2;21;5;4;4;8.00;2.5999999999999996;97;0.62;10.43;4855;16;4;d;0;0
10;1472;2;5;4;0.0141;456300;0.15;7;0;13827;2;0;33;5;5;4;54.31;11.34;527;0.42;27.37;1595;6;4;99;0;0
11;164;2;7;284;0.0007000000000000001;667200;0.2;12;1;14826;0;1;45;9;7;4;99.9;99.9;111;0.44;26.53;2665;0;4;s;0;0
12;1123;2;5;262;0.0557;625800;0.17;67;1;20860;0;2;30;5;8;6;18.23;4.27;388;0.63;6.40;3170;6;4;3;0;1
13;778;2;6;146;0.1533;718000;0.41;67;1;19405;0;2;37;15;0;1;6.37;2.38;57;0.43;2.30;2705;12;4;4;0;0
14;635;2;7;7;0.0275;1129900;0.34;42;2;27558;0;2;41;14;5;7;99.9;99.9;37;0.63;8.10;1176;5;4;s;0;0
0;1473;0;6;4;0.1148;507000;0.5;48;4;25350;2;2;20;10;2;1;10.06;2.505;128;0.65;3.09;1675;11;5;d;0;0
1;658;1;6;8;0.053399999999999996;410897;0.42;23;8;10813;0;2;38;16;6;0;20.65;4.525;1;0.58;9.12;1509;1;5;7;0;0
2;1474;0;6;7;0.0102;389200;0.14;9;4;10518;3;1;37;5;10;3;77.61;10.46;561;0.49;35.27;1110;10;5;4;0;0
3;149;0;5;57;0.0213;351000;0.1;6;4;11700;0;1;30;3;1;5;21.04;3.7800000000000002;106;0.3;18.38;1584;11;5;99;0;0
4;1077;1;4;2;0.3301;547532;0.23;26;5;24887;0;1;22;5;9;1;2.02;1.395;134;0.68;8.30;3155;2;5;d;0;0
5;514;0;6;146;0.2493;582262;0.75;30;8;36391;0;2;16;12;1;1;5.39;1.93;57;0.88;2.25;4675;12;5;5;0;0
6;1336;0;4;290;0.0123;386000;0.31;30;8;29692;2;2;13;4;1;1;48.20;9.52;1;0.46;9.63;4130;1;5;d;0;0
7;1337;0;5;111;0.0052;396000;0.25;30;8;24750;0;2;16;4;4;2;95.31;10.2;290;0.63;16.42;1560;1;5;6;0;0
8;744;0;5;10;0.0127;337800;0.24;38;5;19870;0;1;17;4;5;1;61.53;8.105;8;0.59;5.49;1625;2;5;3;0;1
9;1004;0;7;20;0.0504;552884;0.18;20;8;9699;1;1;57;10;5;7;15.55;3.425;562;0.39;4.72;1954;14;5;1;1;1
10;1475;1;4;284;0.0282;370000;0.42;20;8;30833;0;2;12;5;2;2;28.48;6.455;317;0.75;7.77;2650;9;5;2;0;1
11;1476;1;4;33;0.11199999999999999;511000;0.6;39;5;51100;3;2;10;6;1;1;6.88;2.515;5;0.8;3.35;4555;3;5;d;0;0
0;641;0;5;7;0.3542;941655;0.5;102;35;47082;0;1;20;10;3;1;2.72;1.55;20;0.7;2.36;7050;11;6;1;1;1
1;1034;0;7;57;0.1421;1008471;0.82;71;8;36016;0;1;28;23;1;1;7.42;2.21;97;0.89;2.26;6365;16;6;2;0;1
2;1072;1;5;12;0.06860000000000001;820815;0.41;29;5;37309;1;0;22;9;2;3;8.11;2.645;26;0.64;6.14;2040;1;6;7;0;0
3;51;0;5;4;0.0192;744800;0.29;34;8;26600;0;1;28;8;4;2;37.43;6.395;4;0.5;5.91;1540;1;6;3;0;1
4;469;1;7;15;0.0159;952266;0.27;29;5;23226;0;2;41;11;6;9;44.78;5.765000000000001;97;0.63;13.84;2925;16;6;99;0;0
5;520;0;6;146;0.2703;983100;0.29;23;8;28088;0;2;35;10;5;3;3.20;1.67;57;0.51;1.97;5375;12;6;4;0;0
6;1477;0;6;291;0.018500000000000003;740945;0.39;31;8;15121;0;1;49;19;8;2;32.92;4.965;563;0.59;3.52;3195;14;6;99;0;0
7;1478;2;6;43;0.015;958000;0.31;31;8;33034;2;2;29;9;4;3;26.44;5.6899999999999995;156;0.55;6.94;3145;11;6;99;0;0
8;694;1;6;121;0.0116;834800;0.21;39;5;16053;0;2;52;11;11;4;50.05;6.125;243;0.5;5.46;2130;22;6;6;0;0
9;569;0;6;10;0.0019;885750;0.26;33;12;28572;0;1;31;8;6;1;99.9;99.9;8;0.48;14.76;1415;2;6;s;0;0
10;1002;1;5;5;0.0063;728000;0.24;30;8;22060;0;1;33;8;6;3;58.51;5.725;2;0.52;21.19;2175;2;6;99;0;0
11;565;1;5;11;0.0764;975726;0.42;15;8;22691;0;1;43;18;5;3;11.81;2.84;97;0.6;4.68;2853;16;6;5;0;0
0;247;0;6;61;0.0028000000000000004;617300;0.09;57;1;11223;1;2;55;5;9;5;205.44;32.555;22;0.35;20.59;1735;11;7;utg;0;0
1;1242;1;5;146;0.13949999999999999;598208;0.44;67;1;23928;2;2;25;11;2;1;8.53;3.0300000000000002;57;0.56;4.51;3705;12;7;2;0;1
2;1333;0;5;8;0.031200000000000002;643300;0.14;48;1;17386;1;2;37;5;6;3;27.31;6.175;1;0.38;10.33;2965;1;7;d;0;0
3;1237;1;4;11;0.057699999999999994;642341;0.38;24;4;26764;1;0;24;9;2;6;17.44;5.08;30;0.71;2.56;5250;2;7;99;0;0
4;153;0;7;42;0.0048;570441;0.11;48;1;10763;0;1;53;6;9;7;92.28;12.68;109;0.42;11.49;3114;14;7;99;0;0
5;1296;2;5;7;0.0256;446900;0.29;40;0;21280;2;2;21;6;2;1;26.71;5.395;520;0.43;9.99;3380;4;7;d;0;0
6;1304;1;6;40;0.0567;454264;0.48;5;0;18170;0;0;25;12;2;4;16.31;4.285;20;0.72;3.15;2090;11;7;99;0;0
7;378;0;6;63;0.0092;654338;0.4;41;0;15217;0;0;43;17;6;3;70.95;10.02;205;0.6;3.00;3285;14;7;99;0;0
8;227;1;7;33;0.0191;1087500;0.18;43;0;18125;0;1;60;11;9;5;32.87;5.575;5;0.42;17.45;2300;3;7;6;0;0
9;1366;0;5;43;0.132;1232500;0.22;43;0;68472;2;1;18;4;9;1;5.88;2.2199999999999998;20;0.78;4.63;4735;11;7;99;0;0
10;237;0;8;67;0.0040999999999999995;1497100;0.23;10;2;22683;0;0;66;15;12;10;92.84;12.025;145;0.56;10.93;1865;12;7;4;0;0
11;229;1;7;12;0.0388;4343540;0.38;26;2;103417;0;0;42;16;5;6;13.53;3.59;26;0.64;9.69;4390;1;7;utg;0;0
12;1245;0;9;292;0.1173;9395202;0.3;25;32;134217;0;0;70;21;13;6;7.23;2.875;301;0.57;15.90;3593;14;7;3;0;1
13;686;1;6;15;0.0048;3047221;0.11;6;1;56430;1;2;54;6;7;2;125.02;15.865;318;0.28;15.27;1783;22;7;5;0;0
14;780;1;7;57;0.3564;3153588;0.28;38;2;80861;0;2;39;11;7;3;2.46;1.44;97;0.54;5.13;11037;16;7;1;1;1
0;1479;0;5;168;0.020499999999999997;661200;0.15;64;3;25430;0;1;26;4;9;4;23.95;3.59;338;0.65;12.90;1390;11;1;3;0;1
1;54;0;5;4;0.0264;812500;0.09;1;1;24621;0;0;33;3;6;10;20.89;3.5250000000000004;41;0.58;13.40;1944;15;1;4;0;0
2;1394;0;7;15;0.0070999999999999995;768900;0.16;48;1;17475;0;2;44;7;5;5;82.80;9.530000000000001;5;0.39;11.84;1164;3;1;99;0;0
3;1170;0;5;13;0.0026;625700;0.21;3;2;18402;3;0;34;7;2;7;122.13;15.615;245;0.47;23.04;920;15;1;99;0;0
4;627;0;5;19;0.022099999999999998;626600;0.14;67;1;22378;0;2;28;4;7;5;24.31;4.635;177;0.57;19.97;1065;11;1;99;0;0
5;1480;0;5;7;0.2864;855500;0.29;1;1;30553;0;0;28;8;4;1;3.17;1.455;176;0.46;3.34;2105;3;1;5;0;0
6;520;0;6;146;0.5163;873100;0.26;6;1;25679;0;2;34;9;5;3;1.87;1.3399999999999999;57;0.5;2.21;4625;12;1;1;1;1
7;700;0;7;57;0.024300000000000002;656300;0.2;37;0;18751;1;2;35;7;7;5;22.55;3.6350000000000002;97;0.54;30.31;1320;16;1;2;0;1
8;1271;0;10;61;0.0060999999999999995;752200;0.09;9;1;9286;0;0;81;7;13;8;54.35;8.344999999999999;14;0.35;14.85;2740;5;1;6;0;0
9;68;2;6;33;0.0078000000000000005;885500;0.2;1;1;21597;0;1;41;8;7;3;50.45;8.02;5;0.44;44.59;1540;3;1;99;0;0
10;1238;1;6;37;0.0761;776914;0.4;57;1;31076;0;2;25;10;4;3;12.44;3.0900000000000003;46;0.68;13.54;2370;6;1;99;0;0
11;1481;0;8;154;0.0043;529300;0.27;0;0;12909;1;0;41;11;6;5;74.95;8.04;564;0.54;4.56;2400;24;1;7;0;0
0;811;2;5;51;0.1502;262504;0.41;5;0;15441;0;2;17;7;1;1;6.19;2.44;135;0.53;3.26;1229;11;2;d;0;0
1;703;2;5;46;0.031400000000000004;276300;0.05;5;0;14542;0;2;19;1;2;4;19.87;3.755;5;0.37;32.95;1385;3;2;2;0;1
2;1482;2;4;54;0.172;252200;0.33;8;3;28022;0;2;9;3;2;0;4.67;2.615;5;0.56;17.70;2015;3;2;d;0;0
3;1470;2;4;52;0.0335;279800;0.19;1;1;17487;0;0;16;3;4;2;30.53;5.145;115;0.56;6.15;2320;5;2;2;0;1
4;1483;2;6;55;0.0095;262900;0.1;9;1;6259;0;0;42;4;5;6;68.62;12.895;192;0.36;37.72;859;22;2;6;0;0
5;1484;2;5;293;0.0004;290000;0.14;67;1;10357;0;1;28;4;4;1;99.9;99.9;274;0.32;25.42;599;17;2;s;0;0
6;1485;2;6;144;0.0275;419900;0.09;67;1;7366;0;1;57;5;3;6;21.90;5.6899999999999995;527;0.25;12.73;988;6;2;5;0;0
7;1486;2;6;13;0.17059999999999997;735300;0.4;32;2;18382;0;1;40;16;8;2;5.35;2.05;274;0.65;11.78;1085;17;2;4;0;0
8;1487;2;7;50;0.0409;635200;0.15;7;0;11549;0;2;55;8;8;6;15.81;4.29;37;0.4;5.85;2164;5;2;d;0;0
9;776;2;6;23;0.0265;670122;0.24;57;1;23107;0;0;29;7;2;1;33.67;8.935;37;0.34;7.51;2271;5;2;99;0;0
10;220;2;5;294;0.1072;602200;0.26;9;1;22303;0;2;27;7;3;1;10.53;3.86;137;0.41;8.04;1695;3;2;99;0;0
11;1123;2;5;31;0.1834;515800;0.14;67;1;17786;0;2;29;4;8;6;4.59;1.835;388;0.62;9.33;2045;6;2;1;1;1
12;1472;2;5;48;0.0364;451300;0.16;7;0;14103;0;0;32;5;5;4;19.15;4.615;527;0.44;24.31;1755;6;2;7;0;0
13;1488;2;7;74;0.0072;590900;0.22;57;1;14412;0;2;41;9;6;4;74.41;11.2;97;0.46;8.94;1290;16;2;99;0;0
14;1489;2;6;3;0.0032;646616;0.23;48;1;13757;3;2;47;11;7;5;99.9;99.9;123;0.49;3.14;4275;11;2;s;0;0
0;735;2;5;20;0.1783;458903;0.23;32;5;20859;0;1;22;5;2;2;5.07;1.835;562;0.41;12.17;1420;14;3;3;0;1
1;1490;0;4;15;0.0587;255300;0.3;67;4;25530;0;1;10;3;2;0;12.99;3.355;78;0.5;6.84;2064;11;3;6;0;0
2;705;0;5;40;0.0593;497500;0.22;3;5;18425;1;0;27;6;3;1;14.35;3.37;137;0.37;9.55;1530;3;3;7;0;0
3;224;0;6;45;0.201;472800;0.21;35;5;11257;0;0;42;9;7;7;4.03;1.965;140;0.55;3.57;2360;22;3;1;1;1
4;1410;2;5;7;0.1182;473960;0.06;1;4;26331;0;1;18;1;5;1;9.68;2.805;5;0.39;9.14;1637;3;3;2;0;1
5;505;2;6;33;0.054900000000000004;445200;0.29;3;5;21200;0;1;21;6;3;2;14.38;3.45;5;0.52;7.11;1815;3;3;5;0;0
6;1171;0;4;295;0.0003;437300;0.03;14;5;14106;0;1;31;1;8;8;99.9;99.9;313;0.55;38.97;905;22;3;s;0;0
7;1414;0;5;19;0.0176;337700;0.11;2;4;18761;0;0;18;2;2;5;28.82;4.525;199;0.5;12.91;1449;24;3;4;0;0
8;1491;0;6;4;0.0233;368100;0.31;20;8;11503;0;1;32;10;1;1;30.59;5.17;565;0.38;4.14;1515;12;3;d;0;0
9;391;0;4;2;0.0146;486700;0.28;6;4;27038;0;1;18;5;1;3;99.9;99.9;219;0.5;3.21;3605;2;3;s;0;0
10;244;0;5;43;0.24050000000000002;404750;0.39;39;5;14455;0;2;28;11;3;1;3.56;1.9449999999999998;135;0.54;6.68;1195;11;3;utg;0;0
