horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tr�nare;Plats%;Snittodds;Po�ng;Hemmabana;raceIdx;result;won;plats
6;204;0;6;4;0.1162;439300;0.18;56;3;11264;0;1;39;7;4;5;7.28;2.58;131;0.41;8.89;1760;5;6;1;1;1
7;347;0;6;20;0.18280000000000002;289872;0.29;45;13;8525;0;0;34;10;8;3;6.37;2.55;146;0.62;4.48;1424;14;6;99;0;0
8;348;0;7;21;0.011699999999999999;480200;0.14;9;1;10913;0;0;44;6;4;6;46.20;8.89;202;0.36;17.48;1115;25;6;99;0;0
9;211;0;6;43;0.2018;471000;0.24;13;0;22428;0;1;21;5;3;3;3.87;1.79;20;0.52;12.22;1220;11;6;3;0;1
10;349;0;8;87;0.0072;358690;0.3;49;3;7797;0;0;46;14;8;0;54.79;9.28;203;0.48;15.45;1499;5;6;7;0;0
11;350;0;7;7;0.1233;384000;0.24;13;0;18285;0;0;21;5;2;6;8.18;2.62;184;0.62;7.90;2605;11;6;5;0;0
0;351;0;5;45;0.0269;519700;0.33;29;5;21654;1;0;24;8;3;0;99.9;99.9;140;0.46;22.29;2160;22;7;s;0;0
1;238;0;5;15;0.3164;888832;0.31;3;5;25395;0;0;35;11;5;1;2.43;1.37;146;0.49;4.50;3627;14;7;d;0;0
2;242;0;6;13;0.0254;564000;0.19;3;5;18193;0;0;31;6;9;5;20.02;3.64;137;0.65;10.09;1715;3;7;6;0;0
3;244;0;6;43;0.0452;621150;0.37;10;5;15150;0;0;41;15;3;3;12.37;3.19;135;0.51;2.46;1544;11;7;1;1;1
4;6;0;9;24;0.004;707100;0.11;44;4;9686;0;1;73;8;5;12;73.78;8.84;5;0.34;38.77;1119;3;7;3;0;1
5;352;2;6;32;0.0304;773978;0.22;26;5;15479;0;0;50;11;5;6;20.44;3.96;71;0.44;13.64;2280;3;7;99;0;0
6;353;0;7;7;0.4274;823500;0.5;28;8;45750;1;1;18;9;3;1;3.24;1.62;20;0.72;3.53;5945;11;7;8;0;0
7;243;0;6;4;0.029500000000000002;880152;0.27;14;5;21467;0;0;41;11;5;11;19.14;3.55;147;0.66;6.24;2405;21;7;2;0;1
