horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;plats
6;10;0;6;10;0.1125;652300;0.26;44;4;16725;0;1;39;10;3;6;5.12;1.80;8;0.49;8.34;2765;2;6;3;0;1
7;310;0;6;105;0.0034999999999999996;703000;0.19;50;8;16348;0;0;43;8;3;9;38.60;6.72;10;0.47;14.42;1095;1;6;utg;0;0
8;311;0;9;50;0.0204;859450;0.09;30;8;12455;0;0;69;6;15;11;14.96;3.37;176;0.46;7.67;1932;1;6;4;0;0
9;312;0;8;14;0.016200000000000003;826200;0.3;22;12;16524;0;0;50;15;8;5;25.86;5.44;177;0.56;13.42;1475;7;6;utg;0;0
10;4;0;5;8;0.0002;523900;0.15;15;8;15875;1;1;33;5;6;2;99.9;99.9;4;0.39;15.08;1200;1;6;s;0;0
11;142;0;6;93;0.1211;876485;0.29;25;8;18260;0;0;48;14;13;4;5.29;1.84;67;0.65;11.18;1980;2;6;5;0;0
0;84;0;5;102;0.0886;422662;0.24;24;4;14574;0;0;29;7;1;3;7.79;2.62;54;0.38;27.20;2245;0;7;4;0;0
1;105;0;6;25;0.14800000000000002;455500;0.26;35;5;19804;0;0;23;6;6;1;7.82;2.50;26;0.57;7.51;1105;1;7;3;0;1
2;313;0;6;15;0.2692;362724;0.38;44;4;12507;0;1;29;11;6;2;3.94;1.92;178;0.66;7.97;2539;6;7;5;0;0
3;314;0;6;106;0.0147;365895;0.22;2;4;7174;0;0;51;11;13;6;32.49;6.57;179;0.59;4.03;1757;14;7;d;0;0
4;109;0;5;49;0.0622;477814;0.0;25;8;11654;0;1;41;0;8;6;10.69;2.26;73;0.34;15.69;1595;1;7;1;1;1
5;79;1;6;8;0.1699;439906;0.34;32;5;12568;0;1;35;12;6;3;4.29;1.92;1;0.6;5.58;1055;1;7;d;0;0
6;110;0;5;43;0.0725;458900;0.17;27;8;25494;0;1;18;3;4;2;15.65;4.16;60;0.5;15.99;1908;16;7;2;0;1
7;85;1;5;2;0.0999;384600;0.35;26;5;19230;0;0;20;7;2;1;7.77;2.97;58;0.5;12.13;1755;9;7;d;0;0
8;315;0;5;4;0.0106;413500;0.19;3;5;15314;0;0;27;5;3;1;36.67;6.11;57;0.33;19.97;1220;12;7;d;0;0
9;316;0;7;99;0.0033;329906;0.19;1;4;5688;0;0;58;11;14;3;71.91;12.51;171;0.48;4.46;981;14;7;6;0;0
10;317;1;6;98;0.019799999999999998;424216;0.21;35;5;12476;0;0;34;7;5;5;99.9;99.9;160;0.5;2.99;2610;14;7;s;0;0
11;104;1;5;97;0.041299999999999996;439136;0.3;24;4;21956;0;0;20;6;3;1;13.01;3.32;71;0.5;20.42;2498;1;7;d;0;0
0;154;0;7;13;0.1454;1444500;0.27;26;5;26263;0;0;55;15;7;5;6.55;2.09;48;0.49;6.95;2005;11;1;5;0;0
1;215;0;8;107;0.09390000000000001;1589700;0.32;25;8;26495;0;1;60;19;11;8;9.56;2.38;126;0.63;15.67;3420;21;1;4;0;0
2;318;0;10;15;0.0181;1575200;0.23;3;5;18316;0;0;86;20;7;15;29.86;5.77;132;0.49;11.71;1145;19;1;99;0;0
3;54;0;6;4;0.0616;1197900;0.09;34;8;26041;0;0;46;4;7;11;14.16;2.73;41;0.48;32.35;395;15;1;3;0;1
4;55;1;6;33;0.2249;1356000;0.18;30;8;39882;0;1;34;6;6;3;3.83;1.57;5;0.44;39.12;2595;3;1;2;0;1
5;319;1;8;108;0.0139;1671400;0.2;26;5;20634;0;1;81;16;10;3;32.46;6.68;180;0.36;5.38;1059;20;1;8;0;0
6;128;0;8;77;0.3089;914000;0.26;50;8;23435;0;0;39;10;7;2;2.78;1.40;81;0.49;5.93;5600;19;1;1;1;1
7;127;0;7;31;0.1288;1010800;0.23;51;12;19438;0;0;52;12;7;11;6.77;1.99;81;0.58;6.79;4475;19;1;6;0;0
8;152;0;12;19;0.0022;1171923;0.14;27;8;8811;0;1;133;18;4;12;99.98;20.29;89;0.26;66.35;184;15;1;utg;0;0
9;320;0;9;40;0.0023;1159900;0.16;3;5;13645;0;1;85;14;6;10;113.40;18.40;181;0.35;38.61;535;20;1;7;0;0
0;321;2;5;84;0.038;185000;0.0;11;3;8809;0;0;21;0;2;4;13.70;2.74;138;0.29;17.94;465;15;2;3;0;1
1;322;2;4;107;0.006500000000000001;146900;0.08;65;18;12241;0;0;12;1;1;5;93.33;14.10;182;0.58;18.63;839;19;2;7;0;0
2;117;2;6;44;0.5587;186640;0.38;57;17;14356;0;0;13;5;4;2;2.04;1.37;76;0.85;3.06;2239;11;2;1;1;1
3;323;2;5;4;0.06269999999999999;169797;0.05;58;18;8085;0;0;21;1;5;1;14.48;3.46;154;0.33;75.56;488;21;2;5;0;0
