horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;plats
8;272;0;6;14;0.042699999999999995;1124500;0.14;14;2;22490;0;1;50;7;6;6;20.88;3.79;13;0.38;10.70;1685;0;1;6;0;0
9;406;0;6;44;0.23809999999999998;988754;0.57;1;1;32958;0;2;30;17;3;0;5.04;1.79;76;0.67;4.08;5055;11;1;99;0;0
10;407;0;6;8;0.011699999999999999;994929;0.11;14;2;18772;0;2;53;6;6;7;28.42;5.68;1;0.36;22.05;670;1;1;3;0;1
11;408;0;9;11;0.0022;1526518;0.09;48;1;20353;0;1;75;7;10;10;122.51;21.24;224;0.36;58.07;115;2;1;utg;0;0
12;409;2;5;40;0.2922;6042250;0.26;27;31;154929;0;2;39;10;8;6;2.39;1.28;48;0.62;7.81;1250;11;1;1;1;1
0;410;0;4;126;0.0276;252400;0.16;9;4;13284;0;1;19;3;3;3;31.19;4.61;225;0.47;11.58;1505;11;2;5;0;0
1;411;0;3;116;0.42829999999999996;327900;0.33;9;4;27325;0;0;12;4;3;2;2.29;1.38;198;0.75;5.41;2910;19;2;2;0;1
2;412;0;5;11;0.08560000000000001;272300;0.22;89;4;15127;0;0;18;4;7;1;12.05;2.67;9;0.67;8.68;1715;6;2;d;0;0
3;107;0;5;48;0.0461;259650;0.14;43;7;9273;0;0;28;4;1;3;15.76;3.41;14;0.29;32.06;1337;5;2;1;1;1
4;413;2;4;4;0.1041;272000;0.33;41;7;30222;0;1;9;3;3;3;9.06;2.49;154;1.0;4.08;2350;21;2;utg;0;0
5;261;0;6;7;0.18239999999999998;329000;0.25;56;4;16450;0;2;20;5;2;5;4.36;1.74;131;0.6;7.47;2140;11;2;3;0;1
6;414;0;5;13;0.006;247800;0.12;56;4;9912;0;0;25;3;1;6;63.52;9.60;226;0.4;26.49;965;12;2;6;0;0
7;415;0;5;43;0.0789;260100;0.33;56;4;14450;0;1;18;6;3;3;7.14;2.41;227;0.67;6.60;1588;14;2;d;0;0
8;416;2;4;44;0.0128;324100;0.04;34;8;12465;0;1;26;1;7;3;63.52;8.68;21;0.42;9.21;1680;11;2;d;0;0
9;417;0;4;40;0.0075;247400;0.12;2;4;9515;0;1;26;3;3;5;73.43;9.69;5;0.42;15.16;994;3;2;4;0;0
10;418;0;6;88;0.0202;265498;0.05;0;7;4148;0;2;64;3;5;2;25.43;4.59;57;0.16;19.43;1070;12;2;7;0;0
11;419;0;5;15;0.0004;320963;0.22;2;4;13954;0;1;23;5;6;2;99.9;99.9;228;0.57;7.15;2486;14;2;s;0;0
0;420;1;6;4;0.5934;3554559;0.54;22;12;86696;0;0;41;22;2;1;1.82;1.33;143;0.61;3.83;15350;11;3;1;1;1
1;421;1;6;7;0.005;6605720;0.11;21;12;73396;0;1;90;10;12;5;58.06;9.80;21;0.3;26.65;490;11;3;d;0;0
2;26;0;7;15;0.1597;4564165;0.39;17;10;66147;0;1;69;27;6;4;4.42;1.70;21;0.54;4.61;3135;11;3;7;0;0
3;422;0;6;77;0.0116;2166750;0.32;21;12;38691;0;0;56;18;3;8;38.91;5.52;81;0.52;11.08;2100;19;3;6;0;0
4;181;0;8;44;0.0426;9327701;0.39;17;10;126050;0;2;74;29;11;11;17.72;3.34;76;0.69;3.69;2195;11;3;3;0;1
5;179;0;8;13;0.0175;2134933;0.26;45;12;26686;0;1;80;21;13;13;28.63;4.00;107;0.59;32.52;3524;14;3;2;0;1
6;373;0;8;96;0.0281;2092620;0.37;21;12;40242;0;2;52;19;10;4;12.92;2.94;158;0.63;13.72;6151;1;3;utg;0;0
7;134;0;6;51;0.0308;1892014;0.27;23;8;22000;0;1;86;23;15;10;22.36;4.74;83;0.56;13.50;2813;14;3;99;0;0
8;423;1;7;11;0.0143;7550731;0.42;87;27;132468;0;1;57;24;7;5;25.81;4.98;60;0.63;25.68;730;16;3;99;0;0
9;351;0;6;117;0.0377;2650418;0.42;28;8;55217;0;2;48;20;11;3;19.58;3.74;199;0.71;3.96;4650;26;3;99;0;0
10;178;1;6;40;0.0029;1930000;0.18;23;8;37843;0;2;51;9;10;8;85.17;11.01;82;0.53;5.48;2120;4;3;5;0;0
11;138;0;10;43;0.056299999999999996;8631415;0.4;53;15;137006;0;1;63;25;17;7;21.68;3.87;60;0.78;8.18;3465;16;3;4;0;0
0;115;2;6;48;0.04650000000000001;350800;0.07;41;0;8158;0;0;43;3;5;8;19.83;3.73;14;0.37;14.39;2135;5;4;7;0;0
1;424;2;3;8;0.2666;292960;0.29;89;1;20925;0;2;14;4;3;1;2.69;1.59;1;0.57;14.83;2408;1;4;1;1;1
2;425;2;4;7;0.0458;303500;0.17;24;1;10465;0;2;29;5;1;3;27.26;6.08;21;0.31;15.93;1415;11;4;5;0;0
3;426;2;4;37;0.029500000000000002;290300;0.15;6;1;10751;0;2;27;4;4;1;22.94;5.95;62;0.33;20.17;635;12;4;d;0;0
4;119;2;4;11;0.201;579796;0.45;12;4;26354;0;0;22;10;2;5;6.09;2.21;30;0.77;4.38;3380;2;4;2;0;1
5;159;2;4;71;0.0179;403500;0.05;7;0;10618;0;0;38;2;4;5;24.42;4.76;21;0.29;15.80;1054;11;4;99;0;0
6;427;2;6;33;0.019;742200;0.26;43;0;23941;0;1;31;8;4;2;46.01;8.52;5;0.45;6.64;1025;3;4;99;0;0
7;428;2;7;79;0.05;726400;0.06;24;1;9080;0;2;80;5;9;9;12.18;3.23;152;0.29;26.36;642;5;4;99;0;0
8;123;2;5;40;0.012199999999999999;753600;0.22;9;1;20367;0;2;37;8;5;2;45.84;7.62;78;0.41;10.38;1549;3;4;4;0;0
9;429;2;4;2;0.0027;463500;0.24;48;1;22071;0;2;21;5;2;3;99.9;99.9;60;0.48;5.99;2015;16;4;s;0;0
10;390;2;4;13;0.061399999999999996;673362;0.1;48;1;23219;0;2;29;3;3;6;10.87;3.15;37;0.41;19.34;1975;5;4;3;0;1
11;304;2;6;12;0.1845;1174912;0.17;24;1;22594;0;0;52;9;10;6;5.27;2.07;26;0.48;19.88;3894;1;4;6;0;0
12;430;2;5;43;0.06280000000000001;1497500;0.12;10;2;36524;0;2;41;5;12;2;15.82;3.45;60;0.46;28.83;2925;16;4;99;0;0
0;111;0;4;43;0.4204;463700;0.44;20;8;28981;0;1;16;7;3;0;2.51;1.47;60;0.63;8.34;2382;16;5;7;0;0
1;431;1;4;7;0.12210000000000001;383293;0.57;24;4;27378;0;1;14;8;2;0;7.53;2.18;107;0.71;3.62;2428;14;5;1;1;1
2;432;0;4;8;0.0418;590500;0.25;50;8;21089;2;2;28;7;2;1;13.27;3.50;1;0.36;12.62;3055;1;5;5;0;0
3;4;0;4;2;0.066;523400;0.16;15;8;16356;0;2;32;5;6;2;7.49;2.52;4;0.41;24.22;1390;1;5;99;0;0
4;433;0;4;32;0.1539;620700;0.32;26;5;22167;0;0;28;9;5;0;5.60;1.99;38;0.5;2.40;3718;11;5;99;0;0
5;144;0;4;33;0.0999;665500;0.35;12;4;28934;3;1;23;8;2;3;11.78;3.10;5;0.57;3.41;3850;3;5;3;0;1
6;434;0;4;15;0.0155;512219;0.35;30;8;19700;0;2;26;9;7;3;35.21;5.79;60;0.73;8.92;1730;16;5;d;0;0
7;114;0;5;44;0.014199999999999999;470500;0.25;56;4;23525;0;1;20;5;3;3;38.25;6.33;20;0.55;6.04;1865;11;5;99;0;0
8;435;0;5;127;0.009300000000000001;495000;0.36;31;8;22500;0;1;22;8;5;3;50.59;7.99;229;0.73;3.01;3055;4;5;2;0;1
9;112;1;3;13;0.0123;451300;0.25;25;8;18804;0;1;24;6;1;3;23.29;5.52;74;0.42;10.63;2130;19;5;4;0;0
10;262;0;4;77;0.0432;509200;0.36;29;5;23145;0;0;22;8;3;0;17.27;3.84;81;0.5;25.78;3455;19;5;6;0;0
11;436;1;5;128;0.0016;555800;0.29;20;8;19850;0;2;28;8;5;1;99.9;99.9;230;0.5;10.07;2062;4;5;s;0;0
0;437;2;6;4;0.10369999999999999;909356;0.2;28;8;25981;0;1;35;7;9;5;8.69;2.02;107;0.6;22.01;3267;14;6;2;0;1
1;190;2;5;15;0.026000000000000002;717400;0.1;50;8;13796;0;2;52;5;8;7;28.05;5.36;21;0.38;21.77;1720;11;6;99;0;0
2;438;0;6;2;0.0298;716414;0.41;34;8;14047;0;2;51;21;10;6;16.89;3.75;111;0.73;6.59;1520;3;6;7;0;0
3;128;0;7;77;0.2459;694000;0.24;50;8;18263;0;0;38;9;7;2;3.14;1.60;81;0.47;7.10;3575;19;6;1;1;1
4;439;0;6;88;0.3153;982262;0.58;30;8;37779;3;2;26;15;2;2;3.57;1.73;57;0.73;5.98;4055;12;6;99;0;0
5;148;0;7;40;0.0151;870600;0.25;27;8;13393;0;1;65;16;12;4;24.99;5.61;78;0.49;7.65;2195;3;6;6;0;0
6;440;0;5;116;0.06559999999999999;723800;0.21;28;8;19047;0;2;38;8;4;5;13.58;3.82;57;0.45;4.34;3750;12;6;99;0;0
7;441;0;7;102;0.0005;638472;0.13;3;5;9976;0;1;64;8;9;7;99.9;99.9;231;0.38;11.52;785;14;6;s;0;0
8;297;1;6;37;0.0019;550300;0.23;27;8;17751;0;2;31;7;4;3;90.19;15.15;1;0.45;26.70;725;1;6;4;0;0
9;53;0;5;11;0.022400000000000003;944512;0.16;23;8;30468;0;0;31;5;11;2;25.51;4.44;40;0.58;13.40;2800;13;6;99;0;0
10;127;0;6;7;0.1693;955800;0.24;51;12;18741;0;0;51;12;7;10;5.33;1.78;81;0.57;7.00;4020;19;6;3;0;1
11;442;0;6;8;0.0044;758900;0.26;31;8;19971;0;2;38;10;3;1;53.60;10.28;1;0.37;12.91;1480;1;6;5;0;0
0;443;0;8;7;0.1387;1799524;0.24;85;12;21422;0;1;84;20;11;10;6.91;2.04;107;0.49;5.42;3328;14;7;1;1;1
1;33;1;5;12;0.1718;1568500;0.29;22;12;41276;0;1;38;11;4;3;4.72;2.20;26;0.47;5.68;2260;1;7;3;0;1
2;59;0;6;19;0.0806;1552400;0.21;35;5;36102;0;0;43;9;7;6;10.14;2.53;45;0.51;21.16;1645;11;7;99;0;0
3;55;1;5;33;0.0087;1231000;0.18;30;8;37303;0;1;33;6;5;3;44.37;8.14;5;0.42;31.79;1320;3;7;2;0;1
4;444;0;7;11;0.0294;1700012;0.27;87;27;19318;0;1;88;24;15;9;17.11;4.12;232;0.55;10.30;2828;14;7;6;0;0
5;125;1;5;13;0.11320000000000001;1233603;0.24;34;8;22429;0;0;55;13;10;6;7.28;2.30;75;0.53;12.06;3010;2;7;7;0;0
6;129;1;5;8;0.009899999999999999;974690;0.14;34;8;26342;0;2;37;5;6;4;28.43;6.77;1;0.41;16.14;1100;1;7;utg;0;0
7;445;0;6;77;0.048499999999999995;1710800;0.2;35;5;30550;0;1;56;11;8;9;14.72;3.74;233;0.5;11.09;5020;19;7;5;0;0
8;51;0;5;2;0.0361;1010300;0.25;23;8;25257;0;1;40;10;5;6;18.26;4.13;4;0.53;23.07;1590;1;7;4;0;0
9;446;0;6;88;0.3475;1389600;0.31;23;8;30880;0;2;45;14;6;4;3.30;1.88;57;0.53;4.38;3235;12;7;99;0;0
10;447;0;7;16;0.0102;1333700;0.21;34;8;15877;1;1;84;18;14;8;40.32;8.07;16;0.48;4.67;2905;10;7;d;0;0
11;54;0;5;4;0.0054;1197400;0.09;34;8;26608;0;2;45;4;7;11;52.39;11.47;41;0.49;25.30;460;15;7;99;0;0
0;360;0;5;2;0.0738;304000;0.28;31;8;12160;0;1;25;7;3;2;11.65;3.06;205;0.48;16.13;1585;7;1;d;0;0
1;448;0;5;96;0.047599999999999996;385900;0.21;27;8;13306;1;2;29;6;3;9;18.39;3.62;158;0.62;9.63;1490;1;1;4;0;0
2;109;0;4;49;0.02;418314;0.0;25;8;10726;0;1;39;0;8;4;37.68;5.26;73;0.31;10.08;1002;1;1;3;0;1
3;449;1;4;106;0.0383;290064;0.27;26;5;13184;0;0;22;6;5;0;26.91;5.72;75;0.5;38.49;959;2;1;99;0;0
4;111;0;4;43;0.3461;353700;0.4;20;8;23580;0;1;15;6;3;0;2.32;1.36;60;0.6;8.74;1682;16;1;1;1;1
5;4;0;4;3;0.16670000000000001;468400;0.16;15;8;15109;0;2;31;5;5;2;7.01;2.35;4;0.39;23.36;1390;1;1;2;0;1
6;363;0;4;36;0.0060999999999999995;290950;0.14;12;4;8312;0;1;35;5;5;1;77.96;14.22;44;0.31;42.61;1114;7;1;99;0;0
7;450;0;5;4;0.0158;405300;0.1;14;5;13510;3;2;30;3;11;5;40.33;5.81;158;0.63;14.88;1440;1;1;8;0;0
8;451;0;4;93;0.1323;368500;0.27;30;8;24566;0;0;15;4;2;3;5.28;1.77;67;0.6;5.70;1705;2;1;6;0;0
9;79;1;5;8;0.14880000000000002;430906;0.35;32;5;12673;0;2;34;12;6;3;6.45;2.01;1;0.62;6.17;1265;1;1;5;0;0
10;452;0;5;129;0.0026;394089;0.17;56;4;11259;0;2;35;6;6;3;93.23;15.75;215;0.43;6.82;1163;12;1;99;0;0
11;453;0;6;14;0.0018;379700;0.09;35;5;6780;0;2;56;5;6;4;127.45;19.59;234;0.27;40.39;1155;17;1;7;0;0
0;103;2;4;130;0.1202;233500;0.33;13;0;15566;0;0;15;5;2;1;5.28;1.94;70;0.53;20.75;1110;7;2;1;1;1
1;95;1;3;43;0.1461;184900;0.1;95;18;18490;0;0;10;1;2;1;8.68;2.40;60;0.4;35.35;559;16;2;3;0;1
2;454;0;8;4;0.0174;242350;0.08;70;0;4039;3;1;60;5;8;2;28.55;6.03;235;0.25;47.26;835;17;2;99;0;0
3;277;1;4;96;0.2825;235500;0.36;67;3;16821;0;2;14;5;3;1;3.11;1.68;158;0.64;4.57;2450;1;2;d;0;0
4;455;0;3;2;0.1118;218000;0.33;36;3;18166;0;0;12;4;2;1;99.9;99.9;236;0.58;8.71;1550;2;2;s;0;0
5;456;0;4;131;0.0089;187600;0.13;64;3;7816;0;0;24;3;2;0;57.19;8.87;237;0.21;29.45;745;1;2;5;0;0
6;457;0;4;132;0.0147;196400;0.11;84;3;7274;0;0;27;3;4;1;40.05;7.42;238;0.3;11.85;620;2;2;d;0;0
7;458;0;5;10;0.047599999999999996;178200;0.2;66;18;11880;0;0;15;3;0;5;12.65;3.14;239;0.53;21.62;1675;12;2;6;0;0
8;100;0;4;93;0.1032;228000;0.19;13;0;14250;0;0;16;3;2;1;7.77;2.54;67;0.38;9.32;700;2;2;2;0;1
9;459;0;5;133;0.0055000000000000005;147100;0.12;68;3;8652;0;0;17;2;3;2;85.62;13.13;240;0.41;29.99;1110;2;2;8;0;0
10;460;1;4;70;0.0525;231400;0.22;40;0;12855;0;0;18;4;3;3;10.46;3.06;241;0.56;7.56;1005;16;2;7;0;0
11;461;1;3;50;0.0897;229000;0.08;41;0;19083;0;2;12;1;4;2;6.23;2.05;176;0.58;8.84;1365;1;2;4;0;0
0;462;0;7;10;0.1277;3985501;0.25;47;12;61315;0;1;65;16;11;7;7.14;1.80;8;0.52;24.75;1602;2;3;4;0;0
1;31;0;12;2;0.0034000000000000002;2341908;0.21;21;12;18735;1;0;125;26;12;9;76.31;8.87;25;0.38;121.43;485;11;3;99;0;0
2;374;0;7;5;0.0987;5508676;0.15;18;11;77586;0;1;71;11;14;9;5.07;1.69;2;0.48;18.74;1550;2;3;3;0;1
3;463;0;9;50;0.0039000000000000003;2048746;0.25;23;8;26957;0;1;76;19;11;7;99.9;99.9;155;0.49;27.96;2800;2;3;s;0;0
4;464;1;10;134;0.037599999999999995;17073695;0.28;18;11;174221;0;1;98;27;16;9;11.21;2.69;242;0.53;13.72;1157;14;3;d;0;0
5;138;0;10;43;0.5178;8556415;0.4;53;15;138006;0;1;62;25;16;7;2.16;1.25;60;0.77;8.40;4865;16;3;2;0;1
6;282;0;9;99;0.002;1394638;0.14;34;8;14996;0;2;93;13;16;11;105.97;13.26;161;0.43;35.80;465;2;3;8;0;0
7;269;0;8;12;0.0034000000000000002;1332583;0.29;21;12;22586;0;1;59;17;6;6;69.72;9.35;26;0.49;21.62;845;1;3;5;0;0
8;137;0;8;4;0.1956;2072127;0.2;46;14;27264;1;1;76;15;10;6;4.64;1.60;85;0.41;15.67;6030;1;3;1;1;1
9;285;1;10;14;0.0032;1836126;0.36;87;27;31120;0;0;59;21;8;6;85.52;9.48;163;0.59;34.12;874;2;3;7;0;0
10;465;0;10;3;0.0009;2252244;0.17;22;12;27805;2;1;81;14;17;6;180.42;19.70;243;0.46;92.36;410;6;3;99;0;0
11;466;0;8;8;0.0059;1955623;0.12;55;20;23007;0;1;85;10;12;8;46.21;6.48;1;0.35;30.04;700;1;3;6;0;0
0;467;2;5;50;0.0066;130416;0.06;60;18;3835;0;0;34;2;1;3;64.46;8.94;156;0.18;16.38;614;14;4;3;0;1
1;468;2;4;37;0.0158;120500;0.31;61;18;9269;0;0;13;4;1;0;50.88;7.99;212;0.38;10.43;1930;6;4;7;0;0
2;469;2;4;135;0.014199999999999999;117500;0.33;84;3;19583;3;0;6;2;0;0;37.89;7.65;30;0.33;12.60;975;2;4;2;0;1
3;470;2;4;102;0.0904;155100;0.25;63;3;12925;0;0;12;3;3;0;9.64;2.59;169;0.5;6.98;1510;1;4;d;0;0
4;116;2;3;13;0.4683;122393;0.25;8;6;15299;0;0;8;2;5;0;2.02;1.35;75;0.88;3.10;1517;2;4;1;1;1
5;368;2;5;3;0.0053;263600;0.05;37;0;5990;2;0;44;2;5;4;89.53;13.65;208;0.25;34.57;1025;2;4;8;0;0
6;471;2;4;2;0.1189;438900;0.2;0;0;21945;0;0;20;4;3;4;7.55;1.98;173;0.55;41.30;1780;2;4;6;0;0
7;388;2;4;129;0.0017000000000000001;298806;0.07;8;3;10303;2;0;29;2;4;4;141.75;22.89;215;0.34;37.94;901;12;4;99;0;0
8;472;2;4;106;0.0022;256000;0.19;59;3;16000;0;0;16;3;0;3;147.99;17.28;208;0.38;57.23;590;2;4;99;0;0
9;473;2;6;10;0.0567;396300;0.32;48;1;15852;0;0;25;8;3;4;13.65;2.94;2;0.6;9.85;975;2;4;5;0;0
10;429;2;4;43;0.1744;463000;0.25;48;1;23150;0;2;20;5;2;3;4.78;1.76;60;0.5;6.21;2810;16;4;99;0;0
11;474;2;7;14;0.002;336800;0.12;13;0;6873;0;0;49;6;2;2;165.92;19.09;244;0.2;43.60;695;7;4;99;0;0
12;122;2;5;4;0.009300000000000001;473800;0.13;84;3;14806;1;2;32;4;7;6;46.18;6.95;61;0.53;22.73;879;7;4;4;0;0
13;475;2;3;5;0.0339;362000;0.17;41;0;20111;0;0;18;3;1;3;19.77;3.80;2;0.39;50.91;1065;2;4;d;0;0
14;476;2;7;12;0.0004;475800;0.09;70;0;10573;0;0;45;4;7;5;99.9;99.9;245;0.36;27.61;1110;6;4;s;0;0
0;477;0;6;43;0.0977;665552;0.27;39;5;22185;3;1;30;8;4;4;16.15;3.87;60;0.53;9.58;1345;16;5;3;0;1
1;10;0;5;10;0.0935;547300;0.24;44;4;14791;0;1;37;9;2;6;12.02;3.47;8;0.46;7.50;1470;2;5;2;0;1
2;396;0;6;49;0.0623;786802;0.1;23;8;12898;0;1;61;6;8;4;11.46;2.58;73;0.3;11.73;1767;1;5;1;1;1
3;442;0;6;8;0.1015;744400;0.27;31;8;20118;3;2;37;10;3;1;7.55;3.01;1;0.38;13.68;1290;1;5;4;0;0
4;307;0;4;2;0.2224;662500;0.27;22;12;25480;0;1;26;7;3;3;4.70;1.90;173;0.5;3.33;1298;2;5;8;0;0
5;478;2;5;3;0.006999999999999999;866100;0.17;28;8;24745;0;2;35;6;7;5;37.91;9.50;4;0.51;31.53;1168;1;5;99;0;0
6;310;0;5;105;0.0021;690000;0.19;50;8;16428;0;0;42;8;3;8;99.9;99.9;10;0.45;16.79;1075;1;5;s;0;0
7;2;0;4;106;0.06860000000000001;606000;0.32;34;8;31894;0;1;19;6;2;1;11.59;4.11;2;0.47;14.58;2065;2;5;99;0;0
8;295;1;4;4;0.0729;595000;0.08;15;8;22884;1;1;26;2;3;5;7.00;2.67;168;0.38;30.78;2050;1;5;7;0;0
9;479;0;5;12;0.0269;638160;0.29;54;12;20585;0;1;31;9;7;4;23.50;5.52;26;0.65;6.15;2365;1;5;6;0;0
10;480;1;4;5;0.201;644500;0.32;30;8;29295;0;0;22;7;4;2;4.39;1.78;2;0.59;5.95;2600;2;5;99;0;0
11;142;0;5;93;0.044199999999999996;848485;0.3;25;8;18445;0;0;46;14;13;4;13.44;3.51;67;0.67;13.86;2043;2;5;5;0;0
0;481;2;6;37;0.0192;193000;0.25;49;0;12062;0;0;16;4;2;3;25.18;3.99;246;0.56;4.09;1600;12;6;99;0;0
1;424;2;3;8;0.2391;237960;0.31;89;1;18304;3;2;13;4;2;1;3.37;1.64;1;0.54;14.57;1813;1;6;2;0;1
2;482;2;4;2;0.0021;233200;0.03;36;3;7522;0;2;31;1;0;10;92.10;8.20;247;0.35;26.28;600;6;6;d;0;0
3;483;2;6;136;0.0003;282800;0.05;11;3;4875;0;0;58;3;1;6;99.9;99.9;248;0.17;24.70;312;6;6;s;0;0
4;41;2;6;10;0.048499999999999995;670000;0.11;24;1;14565;0;0;46;5;7;2;9.51;2.77;8;0.3;6.82;2425;2;6;4;0;0
5;484;2;4;12;0.006;626450;0.17;89;1;26102;1;2;24;4;3;4;57.00;10.57;60;0.46;15.55;1797;16;6;5;0;0
6;40;2;5;26;0.0118;694900;0.21;12;1;20438;0;2;34;7;6;5;34.85;5.43;31;0.53;14.23;1280;12;6;6;0;0
7;485;2;6;137;0.0008;527200;0.07;6;1;9414;0;0;56;4;5;5;165.62;27.73;249;0.25;48.62;281;9;6;7;0;0
8;486;2;4;43;0.0245;605500;0.22;56;1;33638;0;2;18;4;2;2;20.13;4.23;60;0.44;14.84;1525;16;6;99;0;0
9;487;2;6;3;0.49420000000000003;2532450;0.28;32;2;37797;1;2;67;19;7;12;2.71;1.42;250;0.57;4.81;5810;2;6;3;0;1
10;90;2;7;4;0.08539999999999999;4612390;0.27;39;2;78176;1;2;59;16;7;9;8.28;2.38;61;0.54;37.52;970;7;6;8;0;0
11;92;2;4;36;0.0034999999999999996;2389750;0.18;49;0;70286;0;0;34;6;6;6;77.12;10.75;44;0.53;42.17;2735;7;6;99;0;0
12;488;2;8;13;0.0601;6782008;0.22;27;31;94194;1;1;72;16;13;7;8.78;2.63;75;0.5;9.53;5625;2;6;1;1;1
13;489;2;7;5;0.0032;3561821;0.31;12;1;61410;1;0;58;18;11;5;99.9;99.9;2;0.59;22.08;2325;2;6;s;0;0
14;490;2;7;135;0.0013;1109029;0.09;24;1;17328;1;0;64;6;9;10;134.98;20.65;30;0.39;77.66;890;2;6;99;0;0
0;51;0;5;3;0.1656;1005300;0.26;23;8;25776;0;1;39;10;5;6;5.25;1.77;4;0.54;27.71;1915;1;7;8;0;0
1;491;0;5;106;0.0227;1579000;0.17;52;12;38512;0;1;41;7;8;4;29.67;5.11;251;0.46;20.56;2105;12;7;99;0;0
2;492;2;4;5;0.0398;1215500;0.22;34;8;52847;0;1;23;5;4;3;17.47;3.65;2;0.52;19.74;2005;2;7;5;0;0
3;125;1;5;13;0.0761;1108603;0.22;34;8;20529;0;0;54;12;10;6;11.22;2.49;75;0.52;17.15;1510;2;7;1;1;1
4;493;1;5;43;0.2664;1503726;0.41;15;8;29484;3;1;51;21;6;3;3.11;1.57;60;0.59;3.11;4510;16;7;7;0;0
5;386;0;6;96;0.0451;1570888;0.24;33;12;31417;0;2;50;12;10;7;15.86;3.56;158;0.58;6.38;1585;1;7;2;0;1
6;494;0;6;138;0.0038;1144412;0.17;25;8;24349;0;1;47;8;10;4;139.50;16.58;252;0.47;24.90;840;2;7;d;0;0
7;495;0;8;37;0.0027;946171;0.15;50;8;12615;0;1;75;11;8;10;122.11;15.47;252;0.39;19.80;1310;2;7;6;0;0
8;58;0;7;36;0.015300000000000001;1086200;0.15;30;8;13749;0;1;79;12;8;6;46.59;7.67;44;0.33;39.05;1460;7;7;4;0;0
9;496;0;5;2;0.3448;1201550;0.34;15;8;37548;1;1;32;11;5;3;2.87;1.43;253;0.59;4.16;7425;2;7;3;0;1
10;150;0;6;4;0.0106;868700;0.1;54;12;12065;0;1;72;7;11;7;43.52;7.71;22;0.35;22.10;2620;11;7;99;0;0
11;497;0;6;10;0.0072;1050850;0.2;33;12;25630;0;1;41;8;8;2;60.04;9.45;8;0.44;13.95;1254;2;7;d;0;0
0;498;0;5;139;0.17850000000000002;1254000;0.18;23;8;57000;2;1;22;4;10;1;5.61;2.29;20;0.68;4.62;1140;11;1;99;0;0
1;151;0;6;44;0.2216;1472500;0.3;23;8;33465;1;1;44;13;3;3;3.58;1.66;20;0.43;8.83;745;11;1;7;0;0
2;55;1;5;4;0.051;1200000;0.19;30;8;37500;0;2;32;6;5;2;18.90;3.84;5;0.41;36.49;980;3;1;3;0;1
3;499;0;9;140;0.0032;1181888;0.13;31;8;21105;0;0;56;7;9;2;97.40;15.61;254;0.32;32.95;515;24;1;6;0;0
4;68;2;6;33;0.07629999999999999;1207000;0.2;34;8;23666;1;1;51;10;9;3;13.18;3.22;5;0.43;11.86;1330;3;1;99;0;0
5;59;0;6;19;0.1684;1489900;0.21;35;5;35473;1;0;42;9;6;6;4.47;1.75;45;0.5;23.45;875;11;1;2;0;1
6;320;0;8;31;0.0029;1143400;0.17;3;5;13775;0;1;83;14;6;10;88.34;14.76;181;0.36;50.58;379;20;1;4;0;0
7;54;0;5;11;0.022799999999999997;1187400;0.09;34;8;26986;2;2;44;4;7;11;32.92;6.12;41;0.5;26.51;2835;15;1;5;0;0
8;500;0;9;84;0.0011;915852;0.14;14;5;10407;0;2;88;12;15;7;168.71;24.75;255;0.39;41.46;385;19;1;99;0;0
9;445;0;6;77;0.1197;1585800;0.18;35;5;28832;0;1;55;10;8;9;8.52;2.21;233;0.49;10.71;3880;19;1;1;1;1
10;501;2;7;15;0.003;1238564;0.16;29;5;20304;0;2;61;10;9;8;95.50;16.13;256;0.44;42.14;678;25;1;99;0;0
11;130;1;7;40;0.1516;1663000;0.2;50;8;23422;1;1;71;14;10;5;5.49;1.96;5;0.41;15.69;4630;3;1;d;0;0
0;502;2;8;20;0.019299999999999998;702329;0.16;72;21;11148;0;1;63;10;8;7;22.15;4.31;257;0.4;25.16;2844;21;2;6;0;0
1;503;0;7;141;0.0008;590300;0.16;98;22;9223;0;0;64;10;6;3;99.9;99.9;258;0.3;22.07;1015;19;2;s;0;0
2;504;2;4;44;0.0359;815629;0.27;99;25;54375;0;1;15;4;3;2;20.01;3.88;140;0.6;6.07;6280;19;2;99;0;0
3;231;0;7;48;0.0009;621800;0.16;73;22;12689;0;2;49;8;4;6;194.69;26.91;18;0.37;18.85;459;5;2;99;0;0
4;505;0;6;33;0.0016;717353;0.14;100;22;14347;1;2;50;7;3;8;125.46;16.58;5;0.36;17.77;545;3;2;5;0;0
5;506;0;5;18;0.0023;581800;0.18;74;22;14917;0;2;39;7;5;4;98.20;13.10;18;0.41;28.90;720;5;2;d;0;0
6;235;0;10;77;0.0013;983327;0.1;77;23;7074;0;0;139;14;15;11;160.02;22.22;128;0.29;63.35;535;21;2;99;0;0
7;234;0;9;107;0.0076;1001163;0.17;76;23;11249;0;0;89;15;15;7;35.51;5.55;139;0.42;9.74;1688;19;2;4;0;0
8;349;1;5;31;0.0404;1405435;0.21;82;23;36985;0;0;38;8;9;6;17.17;2.94;142;0.61;8.06;1990;20;2;1;1;1
